                           Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi         V         Vth         Np        Beta   
                           nT         nT         nT         nT        deg        deg        km/s       km/s       cm^3              
2011  252  49426679      15.36      -4.12      -8.38     -11.99     -52.10     243.83      447.1      108.0       15.6      1.619
2011  252  49530253      16.05       4.22       5.16      14.57      65.42      50.74      449.3      104.8       15.1      1.356
2011  252  49621558      19.10       3.95      11.57      14.27      49.41      71.15      434.7       95.5       10.5      0.554
2011  252  49733542      15.53       0.02      14.90       2.57       9.78      89.93      436.0      100.6       16.3      1.441
2011  252  49827031      15.31       4.23      13.24       5.53      21.71      72.26      422.8      100.8       13.8      1.261
2011  252  49925042      16.80       5.65       9.17      12.12      48.38      58.34      430.2       89.6       10.6      0.630
2011  252  50023234      18.03       5.90      10.77      13.18      47.03      61.30      431.7       85.7       10.3      0.489
2011  252  50127484      17.64       7.48      11.61      10.75      37.90      57.22      422.7       69.4       12.9      0.421
2011  252  50222539      17.37       6.48      12.68       9.74      34.37      62.92      434.3       68.3       14.1      0.458
2011  252  50317589      17.74       6.34      12.89      10.29      35.60      63.79      431.4       78.9       13.3      0.554
2011  252  50415710      18.62       6.69      12.72      11.78      39.33      62.26      426.6       75.6       10.7      0.369
2011  252  50513863      18.88       4.74      12.28      13.16      44.98      68.88      421.3       65.1       10.7      0.268
2011  252  50611949      19.00       5.00      11.66      14.10      48.00      66.81      433.6       69.2       11.2      0.311
2011  252  50710066      18.74       7.15      12.06      12.10      40.79      59.35      431.0       59.4       10.2      0.216
2011  252  50808046      18.00       8.47      14.22       6.56      21.63      59.22      433.6       73.2       12.4      0.430
2011  252  50901566      18.49       6.97      16.44       4.21      13.27      67.02      441.8       78.4       12.7      0.479
2011  252  51004425      19.58       6.74      17.14       6.33      18.98      68.53      443.1       76.8       10.9      0.351
2011  252  51114773      17.30       5.67      15.44       4.95      16.75      69.83      453.2       91.7       12.4      0.729
2011  252  51196746      17.85       6.75      15.63       5.19      16.94      66.64      453.4       81.8       10.7      0.475
2011  252  51298781      18.30       7.31      15.31       6.72      21.60      64.48      460.3       86.7        9.6      0.454
2011  252  51396898      18.23       4.04      17.04       4.76      15.21      76.65      464.4      102.7       11.3      0.756
2011  252  51499617      19.28       5.99      17.79       4.27      12.80      71.39      485.5       67.9        9.4      0.245
2011  252  51590074      17.95       4.23      15.92       6.60      21.85      75.13      466.0       90.4       10.0      0.536
2011  252  51687339      17.54      11.10      12.09       1.25       4.34      47.46      457.7       90.2       10.6      0.591
2011  252  51784640      18.44      14.70      11.09      -0.84      -2.61      37.03      445.4      100.0       11.1      0.684
2011  252  51887320      18.42      14.16      10.99       0.59       1.88      37.83      428.2      114.3       13.6      1.097
2011  252  51996207      19.18      12.78      14.14       1.31       3.94      47.90      464.5       80.6        9.7      0.361
2011  252  52095964      19.53      15.45      11.71       2.32       6.83      37.17      452.1       88.9       10.1      0.440
2011  252  52177863      19.03      14.96      11.43       2.66       8.05      37.39      447.2       82.1        9.0      0.350
2011  252  52275234      18.26      12.11      13.48       1.66       5.22      48.06      441.9       89.4       10.4      0.523
2011  252  52373632      18.56      11.75      14.03       1.21       3.77      50.05      449.6       97.8       10.6      0.619
2011  252  52471121      18.50      12.45      13.38       2.51       7.82      47.06      448.8       95.1       10.8      0.600
2011  252  52584921      18.83      -3.61      17.61      -5.41     -16.73     101.59      470.6       91.8        9.7      0.487
2011  252  52666316      18.10      -2.24      16.62      -6.65     -21.62      97.69      470.4       95.4       11.2      0.653
2011  252  52767468      20.53      -2.68      18.02      -8.94     -26.15      98.45      456.1       74.6        9.8      0.272
2011  252  52870042      22.94      -4.04      19.17     -11.78     -31.02     101.89      471.3       87.0        7.9      0.239
2011  252  52972085      23.23      -5.74      18.44     -12.86     -33.66     107.30      481.2       72.6        6.9      0.141
2011  252  53075656      21.81      -5.46      16.22     -13.48     -38.22     108.59      457.4       82.7        9.5      0.288
2011  252  53165261      21.84      -3.44      14.63     -15.53     -45.93     103.23      459.0       84.1        8.4      0.263
