             Wind MFI and SWE Data, 1 minute resolution, GSM coordinates
Year  DOY  millisecs      Vth         Np        Psw         Pb        Pth        Beta       Mms    
                          km/s       cm^3       nPa        nPa        nPa                          
2011  252  26368798       14.5        8.9    1.74051    0.00130    0.00156      1.205      14.34
2011  252  26466916       14.6        8.7    1.69902    0.00123    0.00156      1.270      14.32
2011  252  26557228       16.4        8.9    1.72391    0.00101    0.00199      1.977      13.64
2011  252  26666220       14.9        9.0    1.76045    0.00074    0.00166      2.229      15.32
2011  252  26761132       15.0        8.7    1.68350    0.00111    0.00164      1.479      14.24
2011  252  26859392       15.7        9.2    1.78384    0.00088    0.00190      2.144      14.36
2011  252  26957511       14.7        9.0    1.76405    0.00071    0.00161      2.277      15.58
2011  252  27054097       16.1        9.1    1.76498    0.00081    0.00198      2.452      14.19
2011  252  27152216       16.6        8.9    1.70758    0.00079    0.00203      2.580      13.84
2011  252  27251869       15.2        8.8    1.70511    0.00076    0.00169      2.204      14.94
2011  252  27348455       16.6        9.1    1.74297    0.00104    0.00209      2.002      13.41
2011  252  27447966       16.1        9.6    1.85897    0.00118    0.00206      1.753      13.69
2011  252  27538419       16.7        9.5    1.83996    0.00123    0.00222      1.809      13.18
2011  252  27647271       15.7        9.3    1.80986    0.00119    0.00193      1.622      13.82
2011  252  27740931       15.9        9.3    1.79678    0.00123    0.00198      1.603      13.58
2011  252  27840583       15.5        9.2    1.78078    0.00120    0.00185      1.545      13.89
2011  252  27938562       15.9        9.4    1.80741    0.00124    0.00197      1.587      13.62
2011  252  28036681       15.1        9.1    1.75124    0.00142    0.00173      1.217      13.72
2011  252  28133408       15.4        9.1    1.73750    0.00152    0.00180      1.179      13.33
2011  252  28231527       15.5        9.0    1.72810    0.00161    0.00182      1.130      13.09
2011  252  28329646       15.1        8.9    1.70548    0.00155    0.00169      1.094      13.41
2011  252  28429298       15.3        9.6    1.87502    0.00137    0.00187      1.362      13.90
2011  252  28519609       16.2        9.6    1.87254    0.00133    0.00212      1.589      13.37
2011  252  28628601       15.2        9.5    1.85138    0.00130    0.00184      1.412      14.03
2011  252  28723513       15.2        9.8    1.90021    0.00137    0.00188      1.373      13.99
2011  252  28821632       14.7        9.0    1.74830    0.00147    0.00163      1.110      13.88
2011  252  28918359       15.7        9.1    1.72897    0.00163    0.00187      1.142      12.96
2011  252  29016478       16.8        9.9    1.90682    0.00155    0.00235      1.515      12.73
2011  252  29114599       15.3        9.2    1.76815    0.00157    0.00180      1.146      13.34
2011  252  29212716       14.9        8.8    1.68719    0.00159    0.00164      1.029      13.40
2011  252  29310835       14.9        8.8    1.68906    0.00163    0.00163      1.000      13.35
2011  252  29408955       15.1        8.9    1.70212    0.00151    0.00170      1.127      13.43
2011  252  29500800       16.2        9.0    1.71891    0.00148    0.00198      1.337      12.89
2011  252  29608259       15.5        9.2    1.75088    0.00146    0.00185      1.266      13.34
2011  252  29703312       14.7        8.7    1.64944    0.00136    0.00158      1.165      13.81
2011  252  29801431       15.0        8.7    1.63617    0.00141    0.00164      1.156      13.50
2011  252  29899550       15.2        8.6    1.61278    0.00157    0.00167      1.061      13.06
2011  252  29997669       15.1        8.6    1.62554    0.00139    0.00165      1.180      13.47
2011  252  30095789       16.1        9.2    1.71525    0.00123    0.00199      1.624      13.24
2011  252  30195300       14.5        8.5    1.63827    0.00125    0.00151      1.209      14.19
2011  252  30292027       15.6        8.8    1.66272    0.00133    0.00179      1.352      13.36
2011  252  30390146       15.4        7.9    1.49436    0.00162    0.00157      0.974      12.73
2011  252  30480599       16.8        7.9    1.48859    0.00187    0.00186      0.997      11.74
2011  252  30589451       16.3        8.5    1.59090    0.00190    0.00188      0.989      12.06
2011  252  30684503       17.1        8.6    1.64459    0.00177    0.00212      1.195      11.97
2011  252  30782623       15.4        8.2    1.54576    0.00180    0.00163      0.901      12.53
2011  252  30880742       16.3        8.4    1.59382    0.00186    0.00186      0.996      12.15
2011  252  30978861       16.4        8.3    1.59075    0.00204    0.00188      0.924      11.88
2011  252  31076980       15.6        7.3    1.35794    0.00221    0.00148      0.669      11.49
2011  252  31175099       17.5        7.7    1.46038    0.00249    0.00199      0.799      10.73
2011  252  31273216       16.5        8.6    1.61912    0.00212    0.00198      0.932      11.72
2011  252  31371335       16.4        8.8    1.65938    0.00194    0.00199      1.027      12.05
2011  252  31461789       17.2        8.8    1.67827    0.00189    0.00218      1.152      11.85
2011  252  31570640       16.3        8.8    1.67347    0.00171    0.00196      1.147      12.44
2011  252  31665693       16.9        8.3    1.57362    0.00137    0.00198      1.440      12.51
2011  252  31763812       16.5        8.0    1.53624    0.00147    0.00184      1.248      12.51
2011  252  31863464       16.1        7.7    1.48427    0.00163    0.00167      1.024      12.45
2011  252  31960050       14.2        7.2    1.38939    0.00170    0.00122      0.719      13.03
2011  252  32058169       16.0        7.4    1.40268    0.00143    0.00159      1.110      12.59
2011  252  32156289       15.0        6.8    1.28823    0.00067    0.00127      1.894      14.70
2011  252  32254408       15.6        7.0    1.34457    0.00053    0.00144      2.736      14.70
2011  252  32352527       15.0        7.1    1.35362    0.00095    0.00134      1.403      14.05
2011  252  32442980       15.6        6.1    1.15222    0.00132    0.00124      0.943      12.50
2011  252  32551832       14.7        6.3    1.19751    0.00139    0.00114      0.818      12.89
2011  252  32646884       14.6        6.4    1.20054    0.00131    0.00113      0.864      13.12
2011  252  32745003       14.1        6.2    1.17568    0.00140    0.00104      0.746      13.08
2011  252  32843121       14.8        6.4    1.20548    0.00103    0.00117      1.138      13.65
2011  252  32941242       15.5        7.1    1.32905    0.00093    0.00142      1.526      13.66
2011  252  33039359       14.9        7.1    1.34987    0.00112    0.00132      1.176      13.68
2011  252  33137480       15.8        7.5    1.42536    0.00079    0.00157      1.995      13.98
2011  252  33235597       15.6        7.7    1.45500    0.00050    0.00157      3.134      14.81
2011  252  33333718       14.9        6.9    1.31809    0.00080    0.00130      1.614      14.38
2011  252  33726195       15.4        8.5    1.63930    0.00086    0.00170      1.981      14.40
2011  252  33824312       15.4        9.0    1.72132    0.00101    0.00177      1.752      14.21
2011  252  33922433       15.3        8.8    1.69787    0.00143    0.00174      1.213      13.46
2011  252  34020550       15.2        9.2    1.78108    0.00147    0.00178      1.208      13.61
2011  252  34118671       15.7        9.2    1.76934    0.00159    0.00189      1.191      13.12
2011  252  34216789       15.7        9.2    1.76019    0.00145    0.00189      1.300      13.30
2011  252  34314910       16.2        9.8    1.88838    0.00149    0.00217      1.456      13.10
2011  252  34405363       17.1       10.0    1.92540    0.00157    0.00244      1.553      12.59
2011  252  34514214       15.8        9.3    1.80141    0.00151    0.00193      1.276      13.26
2011  252  34609265       16.0        9.3    1.80915    0.00149    0.00200      1.342      13.18
2011  252  34707382       15.8        9.4    1.82750    0.00163    0.00198      1.214      13.10
2011  252  34805503       16.7       10.2    1.97125    0.00171    0.00236      1.380      12.71
2011  252  34903625       16.6       10.3    1.99952    0.00164    0.00236      1.439      12.89
2011  252  35004808       17.1       11.6    2.23572    0.00248    0.00283      1.138      11.97
2011  252  35102925       17.2       11.7    2.25307    0.00243    0.00289      1.189      11.97
2011  252  35201046       16.6       11.6    2.24375    0.00253    0.00268      1.061      12.15
2011  252  35299164       16.2       10.2    1.99924    0.00161    0.00224      1.391      13.16
