         Wind MFI and SWE Data, 1 minute resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np    
                           nT         nT         nT         nT        km/s       cm^3   
1998  123  36161644       6.31       4.44      -2.23      -3.89      457.8       25.2
1998  123  36257777       6.40       4.33      -2.67      -3.88      458.4       22.5
1998  123  36353871       6.28       4.01      -2.99      -3.78      458.0       23.7
1998  123  36460550       6.32       3.85      -3.18      -3.86      460.9       22.8
1998  123  36543160       6.26       4.28      -2.88      -3.54      456.1       17.0
1998  123  36636285       6.14       4.22      -2.92      -3.36      456.1       20.4
1998  123  36732417       6.13       4.08      -3.19      -3.28      457.0       18.0
1998  123  36828546       6.00       4.06      -3.14      -3.11      457.6       19.9
1998  123  36924675       5.91       4.02      -3.31      -2.78      458.1       22.3
1998  123  37020804       5.97       4.24      -3.13      -2.81      458.5       21.4
1998  123  37116937       6.12       4.68      -2.66      -2.88      457.5       15.0
1998  123  37213066       6.14       4.36      -3.28      -2.79      455.0       14.3
1998  123  37309195       6.10       4.68      -2.72      -2.74      457.4       14.0
1998  123  37415839       6.07       4.61      -2.83      -2.75      458.3       17.0
1998  123  37498453       6.06       4.37      -3.15      -2.74      455.7       13.7
1998  123  37591578       6.05       4.99      -1.98      -2.79      456.9       13.2
1998  123  37687707       6.03       4.80      -2.17      -2.92      457.8       12.8
1998  123  37783835       6.03       4.82      -2.27      -2.83      457.0       12.1
1998  123  37879964       6.09       4.79      -2.24      -3.02      455.9       11.2
1998  123  37976097       6.08       4.76      -2.45      -2.87      455.1       11.6
1998  123  38072226       5.94       4.64      -2.38      -2.82      457.4       16.1
1998  123  38168355       5.93       4.61      -2.30      -2.94      458.4       15.5
1998  123  38264488       6.06       4.65      -2.76      -2.73      457.9       12.7
1998  123  38371132       6.03       4.60      -2.89      -2.60      457.7       15.6
1998  123  38453742       6.07       4.71      -2.87      -2.53      456.7       10.9
1998  123  38546867       6.07       4.48      -3.15      -2.63      456.5       10.9
1998  123  38642996       6.11       4.52      -3.08      -2.73      455.8       10.2
1998  123  38739128       6.12       4.14      -3.47      -2.84      457.2       11.4
1998  123  38835257       6.12       4.15      -3.52      -2.78      456.0       11.3
1998  123  38931386       6.17       4.36      -3.18      -2.97      454.8       11.4
1998  123  39027515       6.16       4.57      -2.99      -2.81      455.1       10.8
1998  123  39123648       6.20       4.41      -2.86      -3.26      455.1        9.6
1998  123  39219777       6.23       4.21      -3.11      -3.34      456.5        9.3
1998  123  39326421       6.24       4.61      -2.47      -3.39      455.0        9.4
1998  123  39409031       6.20       4.85      -2.53      -2.86      455.9        9.7
