             Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz        Psw         Pb        Pth    
                           nT         nT         nT         nT        nPa        nPa        nPa    
2011  252  30195300       1.77       0.16      -1.06      -1.35    1.63827    0.00125    0.00151
2011  252  30292027       1.83      -0.44      -1.30      -1.10    1.66272    0.00133    0.00179
2011  252  30390146       2.02      -1.77      -0.78      -0.14    1.49436    0.00162    0.00157
2011  252  30480599       2.17      -2.06      -0.63       0.08    1.48859    0.00187    0.00186
2011  252  30589451       2.18      -2.15      -0.23       0.25    1.59090    0.00190    0.00188
2011  252  30684503       2.11      -2.01      -0.32       0.53    1.64459    0.00177    0.00212
2011  252  30782623       2.13      -2.08      -0.34       0.19    1.54576    0.00180    0.00163
2011  252  30880742       2.16      -2.05      -0.36       0.48    1.59382    0.00186    0.00186
2011  252  30978861       2.26      -1.90      -0.61       1.04    1.59075    0.00204    0.00188
2011  252  31076980       2.36      -1.68      -1.17       1.03    1.35794    0.00221    0.00148
2011  252  31175099       2.50      -2.20      -0.28       1.05    1.46038    0.00249    0.00199
2011  252  31273216       2.31      -2.02       0.02       1.10    1.61912    0.00212    0.00198
2011  252  31371335       2.21      -1.99      -0.02       0.91    1.65938    0.00194    0.00199
2011  252  31461789       2.18      -2.07      -0.35       0.58    1.67827    0.00189    0.00218
2011  252  31570640       2.08      -1.99      -0.31       0.48    1.67347    0.00171    0.00196
2011  252  31665693       1.86      -1.83      -0.24       0.17    1.57362    0.00137    0.00198
2011  252  31763812       1.92      -1.86      -0.38       0.14    1.53624    0.00147    0.00184
2011  252  31863464       2.02      -1.76      -0.62       0.30    1.48427    0.00163    0.00167
2011  252  31960050       2.07      -1.60      -0.25      -0.24    1.38939    0.00170    0.00122
2011  252  32058169       1.90      -1.79      -0.33       0.02    1.40268    0.00143    0.00159
2011  252  32156289       1.30      -1.13      -0.53      -0.30    1.28823    0.00067    0.00127
2011  252  32254408       1.15      -0.97      -0.56      -0.24    1.34457    0.00053    0.00144
2011  252  32352527       1.55      -1.32      -0.79      -0.06    1.35362    0.00095    0.00134
2011  252  32442980       1.82      -1.55      -0.93      -0.09    1.15222    0.00132    0.00124
2011  252  32551832       1.87      -1.46      -1.10      -0.36    1.19751    0.00139    0.00114
2011  252  32646884       1.81      -1.48      -1.00       0.04    1.20054    0.00131    0.00113
2011  252  32745003       1.87      -1.49      -1.13      -0.06    1.17568    0.00140    0.00104
2011  252  32843121       1.61      -1.25      -0.99      -0.14    1.20548    0.00103    0.00117
2011  252  32941242       1.53      -1.17      -0.98      -0.10    1.32905    0.00093    0.00142
2011  252  33039359       1.68      -1.22      -1.16      -0.01    1.34987    0.00112    0.00132
2011  252  33137480       1.41      -1.01      -0.76      -0.60    1.42536    0.00079    0.00157
2011  252  33235597       1.12      -0.82      -0.41      -0.64    1.45500    0.00050    0.00157
