Wind SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs      Vth         Np    
                          km/s       cm^3   
2000  197  12976416       24.7        2.9
2000  197  14080608       36.5        2.4
2000  197  14169599      107.0        3.0
2000  197  14827103       67.0        3.1
2000  197  15016319        8.6        1.4
2000  197  15110496       23.4        2.8
2000  197  15203808       33.0        3.5
2000  197  15297120       15.9        2.5
2000  197  15580511       32.2        2.2
2000  197  16139520       17.4        2.3
2000  197  16327008        8.3        1.7
2000  197  16610400       27.7        3.0
2000  197  17361216       23.9        4.7
2000  197  17731007       22.6        4.1
2000  197  18004896       22.3        3.7
2000  197  18462816       20.5        4.0
2000  197  18739296       24.0        4.9
2000  197  19106495       17.2        3.8
2000  197  19842623       21.7        5.0
2000  197  20394720       22.5        5.5
2000  197  20486304       12.5        1.7
2000  197  20946815       22.0        5.3
2000  197  21590495       27.6        4.0
2000  197  22051008       28.5        4.2
2000  197  22142592       31.6        4.3
2000  197  22420800       30.0        5.0
2000  197  22603103       24.5        5.2
2000  197  22972896       28.0        5.7
2000  197  24629183       23.6        3.9
2000  197  25180415       23.7        4.7
2000  197  25363584       25.3        4.0
2000  197  25732512       26.4        2.7
2000  197  25914815       29.8        3.6
2000  197  26466912       24.3        2.7
2000  197  26743391       23.9        2.2
2000  197  27210816       24.6        2.7
2000  197  27302400       22.1        3.3
2000  197  27492479       24.6        2.4
2000  197  27869184       26.0        3.1
2000  197  28617408       32.8        3.8
2000  197  28896480       26.8        4.1
2000  197  28987199       31.7        4.3
2000  197  29350079       24.0        2.2
2000  197  29534111       24.9        2.0
2000  197  29625696       25.7        1.8
2000  197  30367008       21.0        1.9
2000  197  30919103       19.9        1.7
2000  197  31471199       19.3        1.7
2000  197  32769791       23.2        2.7
2000  197  32863103       35.8        2.8
2000  197  33053184       22.3        2.8
2000  197  33239807       11.5        2.5
2000  197  33710688       75.2        4.1
2000  197  34083071       23.2        4.0
2000  197  34269695        9.6        2.5
2000  197  34365600      266.9        1.9
2000  197  34553088       19.4        2.8
2000  197  35673696       21.0        3.7
2000  197  35855999       24.5        3.6
2000  197  37054367       21.3        3.1
2000  197  37517472       21.0        3.1
2000  197  37800000       19.9        3.5
2000  197  37990079        8.5        1.2
2000  197  38817791       19.4        3.1
2000  197  39187584       23.6        3.3
2000  197  39650688       20.5        3.4
2000  197  39934079       20.9        3.1
2000  197  43253567       14.6        4.5
2000  197  44633376       16.0        2.2
2000  197  46013183       17.1        4.1
2000  197  46195488       18.6        3.1
2000  197  48636287       15.2        1.7
2000  197  50052383       36.4        1.3
2000  197  50525855       41.9        5.0
2000  197  51183359       15.2        6.2
2000  197  52500960      161.7       14.5
2000  197  52596863      201.3        8.7
2000  197  52692768      184.3        8.4
2000  197  52882847      169.8       10.8
2000  197  52976159      221.1       10.2
2000  197  53729568      161.9        2.4
2000  197  54482976      186.4        5.0
2000  197  54577151      147.9        4.3
2000  197  54766368      143.3        4.9
2000  197  54953856      222.1        3.5
2000  197  55047168      127.0        5.8
2000  197  55143071      253.4        5.4
2000  197  55237247      193.0        3.1
2000  197  55330559      259.0        5.2
2000  197  55423872      293.2        6.2
2000  197  55519776      211.1        2.6
2000  197  55613951      200.8        3.5
2000  197  55707263       89.3        2.5
2000  197  55990656      138.6        2.3
2000  197  56178143      280.6        8.0
2000  197  56274047      260.9        6.7
2000  197  56367360      142.4        3.6
2000  197  56460672      261.1        8.6
2000  197  56556576      239.1        4.8
2000  197  56650751      233.2        5.7
2000  197  56746656      266.9        5.7
2000  197  56839968      255.2        7.6
2000  197  56935872      204.0        4.4
2000  197  57030047      152.3        3.1
2000  197  57123359      235.6        4.8
2000  197  57216671      214.3        5.1
2000  197  57312576      183.2        3.3
2000  197  57406752      158.5        2.8
2000  197  57593376      187.3        4.1
2000  197  57690143      203.4        4.1
2000  197  57783456      173.9        2.3
2000  197  57876768      255.6        8.3
2000  197  57970944      245.3        5.6
2000  197  58066847      199.5        4.1
2000  197  58160159      174.5        3.3
2000  197  58253471      287.0        6.7
2000  197  58347647      285.7        6.8
2000  197  58443552      217.0        3.1
2000  197  58536864      164.7        3.6
2000  197  58630176      267.8        5.8
2000  197  58724351      291.0        6.7
2000  197  58820256      237.4        5.4
2000  197  58913568      166.5        3.0
2000  197  59007744      259.6        6.7
2000  197  59101056      268.7        7.8
2000  197  59196959      229.5        5.1
2000  197  59290271      154.9        3.5
2000  197  59384447      248.9        7.5
2000  197  59477760      207.5        3.8
2000  197  59571072      251.3        4.3
2000  197  59665248      246.1        6.6
2000  197  59761151      253.0        6.1
2000  197  59854463      193.9        4.1
2000  197  59948639      210.2        5.7
2000  197  60041951      225.8        7.8
2000  197  60137856      206.3        5.8
2000  197  60325343      189.0        5.6
2000  197  60418655      119.5        2.1
2000  197  60511967      171.6        5.3
2000  197  60699455      188.3        6.8
2000  197  60792768      163.9       11.8
2000  197  60886944      142.2       11.3
2000  197  61076159      172.0       11.1
2000  197  61263647      165.7        8.4
2000  197  61356959      203.9        9.8
2000  197  61452864      146.3       11.0
2000  197  61640351      180.7        7.3
2000  197  61733663      183.0       13.3
2000  197  61829568      180.1       13.2
2000  197  61923744      115.7       10.0
