Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs      Psw         Pb        Pth    
                          nPa        nPa        nPa    
2011  252  55715636    2.64014    0.14028    0.04782
2011  252  55830660    2.73647    0.18063    0.05031
2011  252  55924105    3.08308    0.16685    0.06181
2011  252  56011460    4.14561    0.14848    0.10359
2011  252  56101914    3.74938    0.16269    0.09081
2011  252  56199996    3.75645    0.14586    0.07114
2011  252  56299683    3.48584    0.16043    0.06610
2011  252  56397128    2.89871    0.17848    0.05280
2011  252  56506652    2.22177    0.18817    0.04086
2011  252  56606449    2.72511    0.17582    0.04046
2011  252  56695367    2.70647    0.18456    0.04015
2011  252  56793523    2.13699    0.19586    0.03807
2011  252  56906972    2.30198    0.19809    0.04610
2011  252  56991292    2.10782    0.19446    0.03072
2011  252  57192097    4.54154    0.15116    0.05360
2011  252  57286289    4.59874    0.13739    0.10456
2011  252  57377605    4.79220    0.12948    0.07757
2011  252  57587535    5.18714    0.12792    0.10102
2011  252  57679519    5.44110    0.12301    0.10197
2011  252  57774539    4.47176    0.12946    0.05204
2011  252  57889519    5.24632    0.12503    0.08419
2011  252  57976910    6.20807    0.12358    0.10492
2011  252  58068894    5.94213    0.13473    0.08020
2011  252  58173113    5.22827    0.14914    0.04958
2011  252  58265921    5.35167    0.14969    0.04779
2011  252  58357121    4.45689    0.14712    0.05893
