                           Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi         V          Vx         Vy         Vz    
                           nT         nT         nT         nT        deg        deg        km/s       km/s       km/s       km/s   
2011  252  23618257       1.80      -1.01      -1.37      -0.58     -18.99     233.60      318.7     -318.6       -8.0       -0.5
2011  252  23727249       1.84      -1.11      -1.42      -0.39     -12.12     232.05      319.9     -319.8       -7.0       -0.7
2011  252  23822302       1.73      -1.01      -1.32      -0.45     -15.03     232.64      320.0     -319.9       -7.4        0.4
2011  252  23918888       1.70      -0.81      -1.42      -0.44     -14.97     240.33      320.2     -320.1       -6.9        0.1
2011  252  24017007       1.66      -0.87      -1.35      -0.41     -14.38     237.25      319.7     -319.6       -7.4        0.5
2011  252  24116658       1.64      -0.76      -1.39      -0.43     -15.14     241.40      320.6     -320.5       -6.3        0.3
2011  252  24214777       1.63      -0.55      -1.45      -0.50     -17.80     249.14      321.0     -320.9       -6.1        1.2
2011  252  24312896       1.47      -0.47      -1.28      -0.52     -20.76     249.90      321.9     -321.8       -5.7        3.0
2011  252  24411015       1.44      -0.58      -1.30      -0.21      -8.39     246.02      320.6     -320.6       -5.6        0.1
2011  252  24509134       1.34      -0.54      -1.21      -0.02      -0.71     245.78      320.6     -320.6       -4.2        0.4
2011  252  24599447       1.65      -0.51      -1.54      -0.03      -1.23     251.78      321.4     -321.3       -6.0       -3.4
2011  252  24708439       1.64      -0.27      -1.50      -0.52     -18.74     259.87      321.5     -321.5       -5.7       -0.1
2011  252  24803492       1.65       0.45      -0.57      -0.94     -52.44     307.82      323.4     -323.4       -7.4        2.0
2011  252  24901611       1.67       0.90      -0.09      -1.33     -55.63     354.16      324.9     -324.7      -10.1        0.8
2011  252  25001263       1.73       0.69      -0.50      -1.51     -60.54     324.10      324.8     -324.6      -10.6        0.8
2011  252  25097849       1.58       0.40      -1.07      -1.09     -43.58     290.70      324.6     -324.5       -8.7        0.8
2011  252  25197361       1.49       0.40      -1.07      -0.95     -39.76     290.62      324.8     -324.7       -8.3        0.5
2011  252  25295480       1.45       0.25      -1.12      -0.88     -37.36     282.76      324.6     -324.5       -8.5       -0.8
2011  252  25389140       1.44       0.24      -0.96      -1.03     -46.17     283.82      324.3     -324.2       -9.3       -1.4
2011  252  25487259       1.39      -0.01      -1.06      -0.85     -38.66     269.34      322.5     -322.5       -7.3       -1.6
2011  252  25577572       1.42       0.25      -1.20      -0.69     -29.40     281.90      323.3     -323.2       -7.3       -1.8
